Ajuste Fecha;Dia Semana;Sabor 1;Sabor 2;Sabor 3;Sabor 4;Sabor 5;Sabor 6;Sabor 7;Sabor 8;Sabor 9;Sabor 10;Sabor 11;Sabor 12;Sabor 13;Sabor 14;Sabor 15;Sabor 16;Sabor 17;Sabor 18;Sabor 19;Sabor 20;Sabor 21;Sabor 22;Sabor 23;Sabor 24;Sabor 25;Sabor 26;Sabor 27;Sabor 28;Sabor 29;Sabor 30;Sabor 31;Sabor 32;Sabor 33;Sabor 34;Sabor 35;Sabor 36;Sabor 37;Sabor 38;Sabor 39;Sabor 40;Sabor 41;Sabor 42;Sabor 43;Sabor 44;Sabor 45;Sabor 46;Sabor 47;Sabor 48;Sabor 49;Sabor 50;Sabor 51;Sabor 52;Sabor 53;Sabor 54;Sabor 55;Sabor 56;Sabor 57;Sabor 58;Sabor 59;Sabor 60;Sabor 61;Sabor 62;Sabor 63;Sabor 64;Sabor 65;Sabor 66;Sabor 67;Sabor 68;Sabor 69;Sabor 70;Sabor 71;Sabor 72;Sabor 73;Sabor 74;Sabor 75;Sabor 76;Sabor 77;Sabor 78;Sabor 79;;Total Cantidad
8/8/19 0:00;Sábado;-18,06;-19,23;-5,8;-5,02;-9,88;;-16,48;;;-10,34;;;-12,37;-6,85;-5,62;-5,69;;-17,78;-12,9;-6,72;-6,13;-5,44;-15,93;-5,47;;-5,82;;;;;-12,25;;;;;;;;-36;-14;-14;;;-13,32;;;;-18,82;-5,63;-305,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9/8/19 0:00;Domingo;;-6,89;-17,29;-10,05;;;;-7,02;;;;-20,64;-5,51;;-5,16;-5,68;;-12,66;-12,79;;-12,18;;-5,32;;-7,07;-10,32;-11,44;;;;-7,12;-1;-2;-12,24;;-30;;;-23;-12;-37;;;-7,16;;;;-5,9;-6,08;-293,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/8/19 0:00;Lunes;-11,4;-20,63;-17,51;;-5,12;;-11,72;-19,95;;-21,77;;-13,38;-11,62;-6,55;-10,92;-10,92;;-18,24;-32,22;-13,65;-17,9;-19,28;-9,47;-17,48;-7,99;-11,05;-11,48;-18,71;-20,42;-15,36;-19,02;;-3;-11,01;-18,15;-30;-10,78;;-24;-24;-19;;;-7,16;;;;-18,24;;-559,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/8/19 0:00;Martes;-21,63;-21,08;-28,84;-10,03;-5,11;;-23,51;-19,52;;-10,7;;-7,55;-30,25;-12,26;-29,92;-17,47;;-18,05;-48,33;-20,15;-30,38;-13,44;-18,99;-18,6;-23,28;-21,3;-10,99;-5,71;-6,56;-9,17;-24,88;-4;-2;-5,74;-11,95;;-6,02;;-12;-10;-36;;;-32,84;;;-4;-23,49;-11,88;-667,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/8/19 0:00;Miércoles;-5,18;-26,31;-16,41;-5,02;-5,06;;-11,96;-12,83;;-10,8;;-27,54;-11,74;-12,5;-10,17;-10,46;;-23,93;-16,44;-6,67;-12,8;-12,31;-18,43;-11,74;-7,64;-10,31;-16,99;-11,78;-5,91;-8,02;-12,34;-3;-5;-5,96;-6,83;;-8,8;;-37;-28;-40;;;-6,95;;;;-11,86;-10,64;-505,33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/8/19 0:00;Jueves;-5,41;-8,51;;-5,05;;;;;;;;-6,69;;;;;;;-12,04;;-5,63;-6,57;;-6,16;;-5,62;-5,25;;-6,93;;-5,9;;;;;;;;;-2;-16;;;-5,54;;;;;;-103,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/8/19 0:00;Viernes;-5,21;;-5,36;;;;-5,75;;;;;;;;-5,27;-5,99;;;-10,34;;;;;;;;-5,9;;;;;;-3;;-5,78;-30;;;-12;-12;-15;;;-8,17;;;;-6,06;;-135,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/8/19 0:00;Sábado;;;-6,29;-15,06;-5,06;;;-6,28;;-5,34;;-13,56;-11,62;;-5,64;-6,03;;-6,32;-5,58;-13,43;-12,95;-12,54;-13,31;-11,56;-7,71;-10,87;;;;;-12,47;-4;;;-6,07;-30;;;-35;-14;-25;;;-12,94;;;;-5,79;-6,15;-320,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/8/19 0:00;Domingo;-20,95;-22,34;-15,67;-5,01;-5,07;;-16,73;-12,44;;-10,69;;-7,02;-12,09;;-4,7;;;-17,89;-11,14;;-12,71;-6,82;-9,14;-6,65;-7,73;-16,41;-6;-7,33;;-8,2;-17,36;-1;;;-18,16;-60;;;-24;;-48;;;-5,88;;;;-18,53;-5,65;-441,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/8/19 0:00;Lunes;-16,94;-54,81;-42,16;-20,04;-10,07;;-23,68;-26,06;;-21,74;;-14,26;-30,97;-19,01;-36,86;-28,74;;-34,96;-49,86;-20,53;-41,22;-32,84;-29,99;-18,63;-23,71;-16,53;-17,1;-6,08;-6,56;-16,53;-17,02;-8;-5;-11,03;-12,08;-30;;-20;-36;-30;-36;;;-30,11;;;-6;-19,18;-11,73;-932,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
